,source,target
0,its_vlanermane,r.conchillo
1,its_vlanermane,gorgeoussbag
2,its_vlanermane,julie_moregelly
3,its_vlanermane,gad_klein_50
4,its_vlanermane,_iam_impulse
5,its_vlanermane,iam.chege
6,its_vlanermane,sessymap
7,its_vlanermane,vatkomike
8,its_vlanermane,busuulu_bala_sam
9,its_vlanermane,_i.am.addicted
10,its_vlanermane,d_kirika
11,its_vlanermane,_lanogw.a
12,its_vlanermane,lindi_kusini
13,its_vlanermane,shany_alfie
14,its_vlanermane,deancarlos18
15,its_vlanermane,cuttex_suhani_
16,its_vlanermane,niccur411
17,its_vlanermane,kudrin_dv
18,its_vlanermane,picturesboardroom254
19,its_vlanermane,different_perspectives_nation
20,its_vlanermane,kray_krysh_
21,its_vlanermane,1st__ben
22,its_vlanermane,nirvanafiennes
23,its_vlanermane,berwa_iwacu_
24,its_vlanermane,fan_aren25
25,its_vlanermane,shizzy_de_wizzy
26,its_vlanermane,mikimikiab
27,its_vlanermane,wizden.31
28,its_vlanermane,x_tripple
29,its_vlanermane,6loody_poyzone_
30,its_vlanermane,__s.e.n.i.o.r
31,its_vlanermane,mulumbifrancis
32,its_vlanermane,dontall
33,its_vlanermane,xl_illustrations
34,its_vlanermane,__6a6ushka__
35,its_vlanermane,djeey_rockaz250
36,its_vlanermane,__t.h.u.n.d.e.r_
37,its_vlanermane,makulamba
38,its_vlanermane,frozenniccur
39,its_vlanermane,toxic_vintage254
40,its_vlanermane,itsvee_8
41,its_vlanermane,rongai_dottie
42,its_vlanermane,rupee90
43,its_vlanermane,lennyleon802
44,its_vlanermane,elsie_ndutah
45,its_vlanermane,kenyatta_bandit_
46,its_vlanermane,tyla._.yaweh
47,its_vlanermane,_lyxslim
48,its_vlanermane,fahima_yaya
49,its_vlanermane,_.jeremy.ke
50,its_vlanermane,richie_awstin_
51,its_vlanermane,iamtylerscott01
52,its_vlanermane,b.r.i.a.n_myles
53,its_vlanermane,mollythekid.co
54,its_vlanermane,official.jayantsk
55,its_vlanermane,ali.lamar.391
56,its_vlanermane,vic_nyams
57,its_vlanermane,vichekesho_katuni_stories
58,its_vlanermane,asrkmousam
59,its_vlanermane,___m.marcus___
60,its_vlanermane,davewestfitness
61,its_vlanermane,muricalex256
62,its_vlanermane,o.t.y_t.o.x.i.c
63,its_vlanermane,yobra_grapher
64,its_vlanermane,ss_situma
65,its_vlanermane,husseinrajab343
66,its_vlanermane,j.o.k.e.r_tash
67,its_vlanermane,joabkamanzi234
68,its_vlanermane,rajajeemsalmani
69,its_vlanermane,dblasoundskenya
70,its_vlanermane,tessya65
71,its_vlanermane,toddy_81_official
72,its_vlanermane,c_wakuraya
73,its_vlanermane,f.r.a.n.k.adzzer
74,its_vlanermane,flick11_photos
75,its_vlanermane,rajan.alvin
76,its_vlanermane,blackwolf3857
77,its_vlanermane,promoter_abdu_ug
78,its_vlanermane,fijurno_tha_majestic
79,its_vlanermane,cyanda1037
80,its_vlanermane,dimorekevin
81,its_vlanermane,gift14088
82,its_vlanermane,vinas_bags254
83,its_vlanermane,_s.i.n.s.t.e.r_bandit
84,its_vlanermane,lord_xoxo_
85,its_vlanermane,_stacyke
86,its_vlanermane,street_dripers
87,its_vlanermane,itsshirleyhoes
88,its_vlanermane,k.h.a.l.t.e.e
89,its_vlanermane,i_am_.horus
90,its_vlanermane,_.psirmoi._
91,its_vlanermane,blogger_paul
92,its_vlanermane,mukamiannie
93,its_vlanermane,_ryan_k.ings_
94,its_vlanermane,realest_ryan
95,its_vlanermane,bb_btc_vicente__pd
96,its_vlanermane,k.i.m.e.m.p.i.r.e
97,its_vlanermane,poppychulo_breezy
98,its_vlanermane,tuyisenge_aime_patrick
99,its_vlanermane,escoberke
100,its_vlanermane,teecandy009
101,its_vlanermane,ngara.kid
102,its_vlanermane,susan_mugoh
103,its_vlanermane,shyreen143
104,its_vlanermane,iamtinylogan
105,its_vlanermane,radd_4l
106,its_vlanermane,salimbizz
107,its_vlanermane,africannaviy
108,its_vlanermane,nakuru_trapkidd
109,its_vlanermane,tonynails91
110,its_vlanermane,princess_shaveka
